"","region","perc_agr","SA_c","RU_c","RO_c","SG_c","CA_c","BMA_c","SA_o","RU_o","RO_o","SG_o","CA_o","BMA_o","perc_agr_025","SA_c_025","RU_c_025","RO_c_025","SG_c_025","CA_c_025","BMA_c_025","SA_o_025","RU_o_025","RO_o_025","SG_o_025","CA_o_025","BMA_o_025","perc_agr_975","SA_c_975","RU_c_975","RO_c_975","SG_c_975","CA_c_975","BMA_c_975","SA_o_975","RU_o_975","RO_o_975","SG_o_975","CA_o_975","BMA_o_975","perc_agr_05","SA_c_05","RU_c_05","RO_c_05","SG_c_05","CA_c_05","BMA_c_05","SA_o_05","RU_o_05","RO_o_05","SG_o_05","CA_o_05","BMA_o_05"
"11","pns",0.538870408870409,0.427625281295236,0.578952925253028,0.50747769773074,0.2311236329335,0.517382960423764,0.22406338718196,0.429622833544175,0.491164987665683,0.387235746517607,0.536015804552851,0.276071674965947,0.642210523028967,0.523440748440748,0.464742990654206,0.608244680851064,0.53940396438122,0.26924696435566,0.546003622726693,0.268188405797101,0.462726756824346,0.529532334092474,0.42412962037962,0.56699169470143,0.307632743362832,0.676702289936044,0.550970200970201,0.393068181818182,0.548122990968927,0.476966776263457,0.19202417302799,0.491043359709153,0.186844863731656,0.398198445179862,0.450532984714401,0.354487565182511,0.506096422374618,0.238176685654264,0.61014609952019,0.528031878031878,0.460261749537803,0.604203088578089,0.538484569322893,0.264093137254902,0.543885601577909,0.259380408445829,0.460535080804099,0.522187911881002,0.417384453781513,0.562821335043557,0.30438865074505,0.672313049733512
"12","indo",0.633359375,0.315715969468177,0.502393505183312,0.407636690897635,0.249897997861749,0.413146591397778,0.0944427777770216,0.47781145253087,0.252681041481192,0.372162060829586,0.422281224889809,0.339898012738379,0.35650872209134,0.619655539772727,0.359752090800478,0.528160720264001,0.44468253968254,0.284581005586592,0.44800135501355,0.116604561878952,0.517054455445545,0.277760490002816,0.415455639255074,0.455325591336563,0.373802787012803,0.390055555555555,0.648473011363636,0.271169213206885,0.474817711785762,0.368368805107935,0.216163875003654,0.376197964847364,0.0671052631578948,0.437444153277773,0.22612637516446,0.330488848547718,0.391056533827618,0.303738317757009,0.326216572676005,0.621448863636364,0.350059523809524,0.523480424168921,0.438899868247694,0.279732811990877,0.44206434729064,0.113876515262159,0.509728351475924,0.275604127070323,0.408564439946019,0.448109960159363,0.370666820489156,0.386991955564068
"13","cosea",0.576411214953271,0.305234359915757,0.660885792970026,0.386089174496195,0,0.122223508046975,0,0.0962029881906252,0.523084999632671,0.108224801897662,0,0.3023161765412,0.995679825955459,0.561682242990654,0.341137496720021,0.691648706896552,0.418177766974558,0,0.150375939849624,0,0.116076999432785,0.561705027256208,0.128462097416905,0,0.344030898876404,0.99589362814545,0.593014018691589,0.271046431981402,0.636779724237279,0.354592537611061,0,0.0965252869440458,0,0.0735998193315266,0.493924268502582,0.0861417322834646,0,0.260758154417837,0.995348837209302,0.562616822429907,0.337916330915928,0.686652386217063,0.410731707317073,0,0.147385167187319,0,0.115151515151515,0.552155102040816,0.12699085283831,0,0.339017615176152,0.995884773662551
"14","gbrt",0.527869520897044,0.435739602236732,0.52254369544231,0.608783205809601,0.397994802967195,0.327634597917689,0.0554008557643492,0.298264835430019,0.773621230376935,0.275883431031409,0.395779295451264,0.516038594486414,0.512727354157444,0.514436799184506,0.459680573663624,0.55770655036208,0.627357498935566,0.471643394199785,0.36413809018031,0.0756886694386694,0.318085394351816,0.794902278428094,0.29754067167729,0.476510685335298,0.544712812960236,0.538608494396622,0.538493883792049,0.414685397982063,0.486997445206401,0.590273011398456,0.317374768089054,0.298532964673038,0.0278700466200466,0.275472652636448,0.755105619443765,0.253736789562463,0.3160625,0.487081117021277,0.482374154464698,0.51730377166157,0.454224220512345,0.556122448979592,0.624349661846579,0.464475683890577,0.353012056044314,0.0719685121468043,0.317344103992572,0.79288174414659,0.296999435630526,0.461930926216641,0.541600029320432,0.536038333512295
"15","westaus",0.804900284900285,0.195153864654516,0.155230561171678,0.296952100915132,0.28456428222554,0.192778505855666,0,0.143212807734271,0.299490760636401,0.13700960220031,0.647431902671377,0.179243017862128,0,0.793423551756885,0.22490716003206,0.181594441827602,0.322465432747003,0.37037037037037,0.225756656927063,0,0.166229281767956,0.334014267185473,0.162263872491145,0.710294117647059,0.213606023606024,0,0.818613485280152,0.162724483122894,0.130357434688208,0.271980741683909,0.192307692307692,0.159363600317209,0,0.109815267395055,0.265328501506024,0.114226659167604,0.587669334975369,0.149326923076923,0,0.794824311490978,0.2222761596548,0.179216611244297,0.317313915857605,0.360181818181818,0.223962602459016,0,0.164024997735712,0.328125,0.156465653687876,0.700087719298246,0.203311286236983,0
"16","south_china_sea",0.799486638537271,0.150086544611768,0.240335032449789,0.244752017955868,0.106231678499585,0.374813077779928,0.073571171650015,0.268880824754645,0.143651063116265,0.235489347840497,0.177152318825224,0.320124985655612,0.118570218646782,0.788326300984529,0.184375,0.266488686981917,0.27120926073132,0.129015276910971,0.40617794656178,0.0911166007905139,0.314685314685315,0.162501754027886,0.262635937413305,0.203137821044893,0.365933490442524,0.142595945643246,0.809089310829817,0.114880952380952,0.213018810679612,0.214770558639834,0.0809441707717571,0.340285145888594,0.0524885057471265,0.23363958431743,0.122021375464684,0.204061424046275,0.149729944821732,0.283034513671,0.0971127834341646,0.789029535864979,0.181818181818182,0.263054222847216,0.269387205108006,0.125925925925926,0.403811977556395,0.0871132001566784,0.305818318318318,0.16198644698379,0.259910095193325,0.200659602076125,0.355364498897069,0.136979539276005
"17","phil",0.638843669250646,0.195677983459607,0.552894841314999,0.317898266661449,0.203949129278805,0.399373567309029,0.112982988787021,0.310741126048553,0.202338641408084,0.320510454382715,0.511558372024927,0.261848875244848,0.552247569571409,0.62562984496124,0.224505208333333,0.579941243244237,0.345262935559026,0.239398809742478,0.429977678571429,0.145074539156254,0.343647095371233,0.230133872278421,0.350723441444941,0.540103194962687,0.290501018453774,0.599472325485337,0.652826227390181,0.167648944193062,0.531474024500908,0.286494252873563,0.165559071729958,0.366987140968634,0.0848486088379705,0.281639633622746,0.172039714671294,0.28983718487395,0.482559041030534,0.231196048562064,0.519766009852217,0.626582687338501,0.21937124428028,0.575481796808208,0.34469696969697,0.233896103896104,0.424908873805933,0.140889431074637,0.34041889483066,0.226765212399541,0.347680844907407,0.537647995031249,0.288812675491376,0.583382352941176
"18","southeastern_asia",0.616958762886598,0.170486557793429,0.428674354479534,0.525657527291402,0.123336486543041,0.409300453898391,0,0.424713624086285,0.429799608268767,0.234402304409742,0.596811161343766,0.183707197589875,0,0.60264175257732,0.204451566951567,0.467198082157098,0.555569455980066,0.153226857887875,0.448950581015798,0,0.456632237964837,0.464396774480977,0.264420122887865,0.628366616070582,0.210868313618759,0,0.632753436426117,0.138780749940291,0.388045525902669,0.496574869213306,0.0884404388714735,0.375534761851479,0,0.384583546767749,0.393382352941177,0.203769189812761,0.564690189328744,0.155749235474006,0,0.603092783505155,0.197646731928355,0.462262383987476,0.552062328611781,0.148303765950825,0.436571325778018,0,0.452093564228483,0.461240310077519,0.259857203751066,0.624104357762747,0.208545357429004,0
"19","se_caribbean",0.576506622516556,0.341960611458905,0.258139281336821,0.550502709721738,0.676906114769765,0.622954732549777,0.0323847956709928,0.267428761310514,0.490138960796016,0.418464466386876,0.722714369613025,0.444658849350306,0.265280427393833,0.560823675496689,0.382920972644377,0.292400568181818,0.582489134583421,0.723682957791177,0.657029393156986,0.0426116341119613,0.299023110416434,0.524840246636771,0.45757953340403,0.761630426445774,0.486019736842105,0.289901203724733,0.590707781456954,0.307264957264957,0.21327288218111,0.517884378843788,0.631564198369565,0.590196779964222,0.0151804493920895,0.226822085889571,0.451853518821604,0.378621132016794,0.677060004013646,0.404157754010695,0.237026900447853,0.562913907284768,0.375824996266985,0.286710171544684,0.580576141525221,0.716374316496129,0.655193876091,0.0416666666666666,0.294887241272783,0.521089670436076,0.450771753810534,0.759506000328785,0.477207367795603,0.289088139478764
"20","meso",0.761270878721859,0.324617052764029,0.227361231223217,0.164885103278916,0.382499367845951,0.333909806352569,0.00968347384337409,0.289687918937425,0.306906363049756,0.305464822954554,0.318519188925077,0.242642127910605,0,0.751252723311547,0.369513652661579,0.252551270729075,0.188922098690222,0.409866083037185,0.367626966142362,0.0157263294422828,0.336833333333333,0.341379811183733,0.334852801519468,0.350346547480244,0.27394431209053,0,0.77124183006536,0.285378143491124,0.194145370758274,0.139223054429795,0.349173462566845,0.300944913392745,0.00355027156751286,0.242857142857143,0.272113888197211,0.279175920195143,0.290458705832269,0.211411271541686,0,0.752360203340596,0.364850739658074,0.247916437401416,0.188121473437666,0.407380105401845,0.361358411402954,0.0153905784138342,0.331193693693694,0.334951371173469,0.330546008227521,0.342691683857456,0.27193129451194,0
"21","rsga",0.671730103806228,0.221250374330668,0.513909227835825,0.311978451131409,0.065499631099062,0.361696987365066,0.0651413725017513,0.265809170881174,0.187479276611615,0.196610480543039,0.525496978300862,0.271390975487048,0.54684964649137,0.659152249134948,0.255885026737968,0.541845277274971,0.347668850806452,0.0955238726790451,0.394708285298982,0.0871376811594203,0.299781105990783,0.21024244004171,0.224719852761403,0.563298466943469,0.305233739837398,0.582337224966322,0.684792387543253,0.186529321484269,0.488982213438735,0.277751150306748,0.0360136452241716,0.330185851318945,0.0419905313736575,0.236777991706161,0.165540281941698,0.171532846715328,0.49279867941399,0.245779220779221,0.518927648578811,0.662975778546713,0.247577352327375,0.5361896809658,0.344267723374227,0.0892857142857143,0.388774679154571,0.0846814903846154,0.296847191249867,0.207197364388599,0.219292852816475,0.55786979451714,0.298606496862311,0.572799379770992
"22","eastern_micronesia",0.707925746569814,0.15969170866079,0.212751158588693,0.516469401115821,0.00982335882177388,0.408633213891762,0.013240872913997,0.259013299086322,0.429917502856564,0.227779452283281,0.513145780614537,0.368759561715809,0,0.694874899112187,0.190631482133772,0.248134816753927,0.545468036747107,0.0155303030303031,0.438980118144948,0.02,0.288068366472656,0.468467895740623,0.254587406282623,0.551470588235294,0.404345013168442,0,0.721589991928975,0.128336720867209,0.177088321974581,0.48925661234304,0,0.378604595785213,0.00476190476190474,0.217114610296232,0.38621899979504,0.202846368339716,0.475862068965517,0.336707773561686,0,0.696529459241324,0.187592455621302,0.241526253918495,0.539054030886096,0.0149253731343284,0.437816425730699,0.0195316102414755,0.285751488095238,0.464744804740194,0.2510147299509,0.550761935208866,0.396553983228512,0
"23","central_south_pacific",0.584799090219864,0.673110403362736,0.393288529958174,0.183916677137458,0,0.242931938504369,0.344131275238318,0.208715726635667,0.280047534520802,0.252378071732442,0.958896845969937,0.235283449540747,0.414558396281568,0.572005307050796,0.69603719224725,0.429524023349798,0.217093187057116,0,0.272473509933775,0.385900682100041,0.251033299255148,0.314176260420802,0.286602657324167,0.970849541539316,0.271853256769218,0.451469761690647,0.596702047005307,0.649990183479689,0.367017516224561,0.150651017214397,0,0.20575682382134,0.310053550345758,0.171153915553952,0.247327806122449,0.221706021251476,0.944915254237288,0.197358490566038,0.38460716589614,0.573881728582259,0.693161604296023,0.422298884948947,0.214731932111948,0,0.269938650306748,0.383310890098686,0.242782730805656,0.306431795155199,0.279702356345597,0.968871595330739,0.267887104506232,0.445311039830273
"24","nw_arabian_sea",0.65131398013751,0.351244321760889,0.457981064807318,0.430825635050268,0.0634672391040408,0.292672083876575,0.0264355708959945,0.237593150124992,0.236164703606295,0.110453784251347,0.543222244633175,0.42067831356885,0.583397129300732,0.637891520244461,0.382529653031815,0.488114904113949,0.458121596640344,0.0958405048766494,0.330272709627329,0.0406204906204907,0.266394849785408,0.261363636363636,0.129921046939217,0.589354037267081,0.460024021619458,0.628347107438016,0.665794499618029,0.319766810264094,0.426624778237729,0.401798107255521,0.0331308011724474,0.252388981985756,0.00970873786407767,0.20920187299416,0.199923036710037,0.0860448375154258,0.498261589403973,0.379730769230769,0.554409233572947,0.639419404125287,0.376082305562547,0.478800577692544,0.45210979769466,0.0878308823529411,0.324870915463762,0.0400202020202021,0.260636886333481,0.258909172864548,0.128254201938412,0.580579638752053,0.45716307277628,0.614933286866474
"25","tropical_eastern_pacific",0.651201011378003,0.346747950598346,0.16925859046954,0.504890590371122,0.0211830509763794,0.60507644942744,0,0.459722286930453,0.272912661397595,0.310937552556319,0.379701295447706,0.339346927437517,0,0.632648546144121,0.391752577319588,0.205128205128205,0.543368467281511,0.0317792338709677,0.648190637511549,0,0.515969199866086,0.310898692810458,0.350355439262724,0.414040220608017,0.390796988577362,0,0.672629582806574,0.295825951016154,0.133535031847134,0.469052933673469,0.011970593509055,0.564479166666667,0,0.409817731590485,0.24236638323717,0.275599700149925,0.34799084272541,0.289723684210526,0,0.635840707964602,0.389009661835749,0.197780903266135,0.535624889829015,0.0310656055900621,0.643280033960662,0,0.509123168498169,0.301272915620291,0.346193092621664,0.409969262295082,0.380770479824633,0
"26","ne_asia",0.758160112359551,0.201821977605674,0.255966458513376,0.247576435995754,0.0764326542059446,0.509168297691382,0,0.335336623574864,0.220614288101262,0.183876122235604,0.529477619921461,0.225895687668484,0.00696912248899839,0.745049157303371,0.240550213675214,0.285198555956679,0.27639520295203,0.102666164891153,0.543161566056956,0,0.373822923651691,0.252849118895511,0.207818945760122,0.563784443168772,0.261251496209602,0.0108165584415584,0.770031601123595,0.162546271813855,0.225506044774236,0.218232155792054,0.0441532258064516,0.482352941176471,0,0.302307046979866,0.196816976127321,0.160305220883534,0.496181526806527,0.187753482630929,0,0.747155898876405,0.233498727735369,0.281812275869238,0.274928963391716,0.100804001676095,0.538831184336199,0,0.365061337933678,0.250095419847328,0.206519699812383,0.558588015757827,0.255950085082246,0.0106382978723404
"27","sea",0.517848775292865,0.0515724857001985,0.638172160604533,0.517199390711678,0.792619047619048,0.311939046585043,0,0.254834302547687,0.455948290264709,0.246480662145206,0,0.0414333741153168,0.996201074821966,0.502103301384452,0.0759493670886076,0.660098522167488,0.562610987791343,0.857142857142857,0.34896694214876,0,0.302580492424242,0.491139825658184,0.292971758664955,0,0.0543893756845564,0.996376811594203,0.536794462193823,0.0248379629629629,0.615946088062672,0.467932692307692,0.666666666666667,0.278270061633598,0,0.207009798918036,0.425033826262847,0.191607142857143,0,0.0246118306445505,0.995983064516129,0.505697550585729,0.0706514084507043,0.655945743581493,0.553694137820169,0.857142857142857,0.344552303680093,0,0.3,0.489265575956223,0.290111526176168,0,0.0538922155688623,0.996350364963504
"28","west_africa",0.767958883994126,0.00810580512475878,0.0256643892463585,0.813260077285924,0,0.0125281391388213,0,0.573839174902007,0,0.0375589251456954,0.977968746382258,0.027758883997253,0,0.751835535976505,0.0138888888888888,0.0347490347490348,0.845979532163743,0,0.0200704697986578,0,0.611725983181857,0,0.0616003787878787,0.980959724238026,0.0381016689510602,0,0.783443465491924,0,0.0154724491933793,0.78488160291439,0,0,0,0.540523362847374,0,0,0.973684210526316,0.0126582278481012,0,0.753303964757709,0.0133423423423422,0.0332673727500633,0.834723115513249,0,0.0197433774834438,0,0.607734806629834,0,0.0589126559714795,0.980769230769231,0.0377477907809888,0
